Date,Adj Close,Close,High,Low,Open,Volume
2013-04-26,644.0,644.0,644.25,640.0,640.0,53896.0
2013-04-29,684.0,684.0,685.0,656.0,656.0,78524.0
2013-04-30,683.25,683.25,686.0,677.75,686.0,93276.0
2013-05-01,681.75,681.75,685.75,673.25,674.5,30420.0
2013-05-02,697.5,697.5,698.5,686.5,692.25,10235.0
2013-05-03,699.5,699.5,703.25,698.5,700.25,8678.0
2013-05-06,678.75,678.75,685.5,678.5,685.5,6150.0
2013-05-07,676.5,676.5,682.0,676.0,677.5,4247.0
2013-05-08,675.0,675.0,676.0,674.75,674.75,4152.0
2013-05-09,694.5,694.5,695.0,694.5,695.0,2301.0
2013-05-10,687.75,687.75,687.75,686.5,686.5,2383.0
2013-05-13,718.0,718.0,720.0,701.0,701.0,3813.0
2013-05-14,706.75,706.75,706.75,706.75,706.75,1784.0
2013-05-15,650.75,650.75,659.5,645.25,648.0,64384.0
2013-05-16,641.5,641.5,649.5,640.5,649.5,78502.0
2013-05-17,652.75,652.75,654.5,638.75,641.25,72057.0
2013-05-20,649.5,649.5,660.25,642.75,654.0,98929.0
2013-05-21,640.0,640.0,641.5,633.0,637.0,88236.0
2013-05-22,658.5,658.5,659.0,638.5,639.0,101487.0
2013-05-23,662.0,662.0,669.5,653.5,655.0,119109.0
2013-05-24,657.25,657.25,664.0,655.75,658.75,115606.0
2013-05-28,666.5,666.5,669.75,660.0,663.0,83484.0
2013-05-29,665.0,665.0,668.0,651.75,667.5,85496.0
2013-05-30,654.25,654.25,664.75,650.25,664.0,135982.0
2013-05-31,662.0,662.0,665.5,655.5,655.5,103450.0
2013-06-03,655.75,655.75,669.0,644.5,668.5,97577.0
2013-06-04,660.5,660.5,663.75,650.0,650.0,119563.0
2013-06-05,660.75,660.75,666.75,660.0,662.75,90516.0
2013-06-06,663.25,663.25,664.5,656.0,660.0,99328.0
2013-06-07,666.25,666.25,673.25,659.75,665.0,73049.0
2013-06-10,650.0,650.0,660.0,648.75,658.5,122077.0
2013-06-11,659.5,659.5,660.5,649.0,651.25,122282.0
2013-06-12,650.75,650.75,661.0,648.0,657.0,111234.0
2013-06-13,643.5,643.5,651.0,642.0,651.0,138800.0
2013-06-14,655.0,655.0,657.75,647.0,650.0,125191.0
2013-06-17,668.5,668.5,671.0,654.0,654.0,97377.0
2013-06-18,673.25,673.25,676.75,663.25,669.5,122002.0
2013-06-19,682.25,682.25,683.75,665.75,666.5,160579.0
2013-06-20,673.25,673.25,679.0,668.75,674.75,145518.0
2013-06-21,661.75,661.75,673.0,661.0,669.5,81189.0
2013-06-24,653.25,653.25,655.5,650.75,655.5,90417.0
2013-06-25,656.75,656.75,661.0,653.0,660.0,63780.0
2013-06-26,664.5,664.5,665.5,661.5,663.0,76136.0
2013-06-27,667.25,667.25,673.0,661.0,667.0,84387.0
2013-06-28,679.25,679.25,685.5,655.0,667.5,89216.0
2013-07-01,655.5,655.5,684.0,654.0,680.0,37861.0
2013-07-02,672.75,672.75,672.5,664.0,665.0,18279.0
2013-07-05,684.75,684.75,685.5,683.0,683.0,3929.0
2013-07-08,691.75,691.75,694.0,685.25,687.0,2868.0
2013-07-09,704.0,704.0,704.5,700.0,700.0,4255.0
2013-07-10,709.75,709.75,710.0,709.0,709.0,3665.0
2013-07-11,716.75,716.75,717.5,716.75,717.5,2647.0
2013-07-12,701.5,701.5,800.0,800.0,701.5,3195.0
2013-07-15,536.25,536.25,539.5,535.5,539.5,59827.0
2013-07-16,545.25,545.25,549.0,540.0,548.75,50492.0
2013-07-17,538.5,538.5,543.5,538.0,543.25,55368.0
2013-07-18,541.0,541.0,542.5,533.0,536.5,45385.0
2013-07-19,544.0,544.0,545.0,537.5,538.0,69576.0
2013-07-22,540.75,540.75,541.75,539.0,540.0,77722.0
2013-07-23,522.5,522.5,535.0,521.75,534.5,49041.0
2013-07-24,508.25,508.25,520.5,507.75,516.5,92858.0
2013-07-25,496.0,496.0,504.5,493.25,503.0,103138.0
2013-07-26,492.0,492.0,498.0,490.0,497.5,126368.0
2013-07-29,489.25,489.25,497.25,489.0,493.0,65924.0
2013-07-30,495.5,495.5,497.0,490.5,494.25,64514.0
2013-07-31,499.0,499.0,499.5,496.5,496.5,64592.0
2013-08-01,487.5,487.5,496.75,487.0,496.5,76256.0
2013-08-02,476.0,476.0,485.75,475.5,485.0,68277.0
2013-08-05,469.25,469.25,472.25,466.5,467.0,83417.0
2013-08-06,472.25,472.25,473.0,470.0,471.5,74631.0
2013-08-07,468.25,468.25,475.25,467.5,475.25,70677.0
2013-08-08,473.5,473.5,475.0,469.5,472.5,90363.0
2013-08-09,465.75,465.75,473.0,464.0,473.0,90623.0
2013-08-12,472.0,472.0,479.0,459.25,464.0,80179.0
2013-08-13,455.25,455.25,475.25,454.5,474.75,110053.0
2013-08-14,464.75,464.75,465.5,457.25,457.5,112285.0
2013-08-15,481.5,481.5,482.75,474.0,474.0,80627.0
2013-08-16,473.75,473.75,479.0,468.75,479.0,81198.0
2013-08-19,493.25,493.25,493.75,480.5,484.0,62894.0
2013-08-20,483.75,483.75,489.5,483.0,488.0,55413.0
2013-08-21,498.0,498.0,499.0,491.5,492.5,46399.0
2013-08-22,487.5,487.5,497.75,486.75,495.5,74947.0
2013-08-23,495.5,495.5,498.75,494.5,496.5,67915.0
2013-08-26,515.75,515.75,520.0,508.0,510.0,73982.0
2013-08-27,499.75,499.75,518.0,499.0,517.75,72379.0
2013-08-28,504.25,504.25,505.0,496.5,496.75,61666.0
2013-08-29,497.25,497.25,503.75,496.0,499.0,62695.0
2013-08-30,495.0,495.0,497.0,489.0,497.0,62086.0
2013-09-03,498.0,498.0,501.5,487.5,500.0,33789.0
2013-09-04,494.0,494.0,494.5,491.0,492.0,12789.0
2013-09-05,489.5,489.5,490.5,486.75,490.5,8034.0
2013-09-06,491.5,491.5,492.5,487.5,490.5,6334.0
2013-09-09,477.25,477.25,477.5,476.25,476.5,3032.0
2013-09-10,474.75,474.75,475.0,474.5,475.0,5827.0
2013-09-11,479.75,479.75,479.75,479.5,479.5,5288.0
2013-09-12,479.0,479.0,480.0,475.0,480.0,2891.0
2013-09-13,450.0,450.0,450.0,450.0,450.0,2128.0
2013-09-16,456.5,456.5,461.5,454.5,459.5,95246.0
2013-09-17,454.0,454.0,467.5,453.5,467.0,96537.0
2013-09-18,456.25,456.25,457.0,452.25,454.0,142922.0
2013-09-19,459.5,459.5,463.25,456.0,460.75,98955.0
2013-09-20,451.0,451.0,458.75,450.5,458.75,118125.0
